index	id	title	units	department	description	target_description	data_source	formula_week	formula_year	example	responsible	instruction_title	instruction_id	category	brand	target	target_type	relevance	type	subcategory
10	KPI12	Полнота приемки транзитных коробов.	% кор. (короба)	Склад товара	Полнота, рассчитываемая как отношение фактического количества принятых коробов к плановому количеству коробов по документам, завершенным в отчетном периоде.	"Рассчет полноты приема коробов относительно планового количества. Вариант ""KPI - Кросс транзитных коробов (Все показатели)""."	"Axelot, отчет ""Контроль приемки"". Вариант ""KPI - Кросс транзитных коробов (Все показатели)""."	"KPI12 = A/B*100%, где: 
А - Сумма фактически принятого по документам, 
В - Сумма количества план по документам, завершенным в отчетный период."	KPI12y = AVG(KPI12m), где KPI12m - значения ежемесячных показателей.	1000 / 2000 * 100% = 50%	Оператор	Приёмка коробов	III-ДИ-УВЛ-Ин-20	shop_transit	Итого	0.95	higher	1	KPI	1
11	KPI10	Производительность приемки транзитных коробов.	% кор. (короба)	Склад товара	Производительность рассчитывается как отношение фактической выработки задействованных сотрудников на операции по часам к запланированной выработке, согласно нормативу 50 кор./час.	Оценка эффективности работы сотрудников на операции в час.	"Axelot, отчет ""Выработка сотрудников по часам"" или дашборд ""Срез для старших смены"" в Power BI."	"KPI10 = A/(B*K)*100%, где: 
А - суммарная выработка кор. за период на операции, 
В - Количество человеко-часов, потраченных на операцию. K - норматив на операции (50 шт.)"	KPI10y = AVG(KPI10m), где KPI06m - значения ежемесячных показателей.	1500 / (30 * 50) * 100% = 100%	Менеджер смены	Приёмка коробов	III-ДИ-УВЛ-Ин-20	shop_transit	Итого	0.95		1	KPI	4
12	KPI13	Своевременность приемки транзитных коробов.	% кор. (короба)	Склад товара	Своевременность рассчитывается как отношение числа коробов, документы которых были завершены вовремя (менее чем через 24 часа после получения коробов), к общему числу коробов, документы которых были завершены в учетный период времени.	Измерение своевременности обработки кросса коробов.	"Axelot, отчет ""Контроль приемки"". Вариант ""KPI - Кросс транзитных коробов (Все показатели)""."	"KPI13 = A/B*100%, где: 
А - количество коробов, документы которых завершены своевременно. 
B - общее количество коробов, документы которых были завершены."	KPI13y = AVG(KPI13m), где KPI13m - значения ежемесячных показателей.	1000 / 2000 * 100% = 50%	Оператор	Приёмка коробов	III-ДИ-УВЛ-Ин-20	shop_transit	Итого	0.95	higher	1	KPI	main
13	KPI14	Время обработки транзитных коробов.	час	Склад товара	Среднее время обработки документов, уравновешенное количеством принятых коробов по документу, завершенным в отчетный период.	Оценка времени на обработку документов кросса коробов.	"Axelot, отчет ""Контроль приемки""."	"KPI14 = SUM(A*B)/SUM(B), где: 
A - Время обработки документа в часах, 
B - количество обработанных коробов, SUM(A*B) - сумма произведений A и B по каждому документу, 
SUM(B) - сумма всех обработанных коробов по документам."	KPI14y = AVG(KPI14m), где KPI14m - значения ежемесячных показателей.	(10 * 500 + 5 * 100) / (500 + 100) = 9,16	Оператор	Приёмка коробов	III-ДИ-УВЛ-Ин-20	shop_transit	Итого	24.0		0	SI	
14	KPI15	Своевременность приемки возвратов с маркетплейсов.	% док. (документ)	Склад товара	"Своевременность рассчитывается как отношение количества документов, которые были завершены вовремя (менее чем через 24 часа после поступления товара), к общему количеству документов, которые были завершены в учетный период времени. Документом приемки из маркетплейса являются документы, ""Номер КИС"" которых содержит ""WB"", ""OZ"" или ""LM""."	Измерение своевременности приемки товаров от маркетплейсов.	"Axelot, отчет ""Контроль приемки"". Вариант ""KPI - Приемка вложений возвратных коробов из розницы (Все показатели)""."	"KPI15 = A/B*100%, где: 
А - количество документов, которые завершены своевременно, 
B - общее количество документов,  которые были завершены. 
Своевременно завершенным документом является документ, у которого дата вывоза в ""Номер КИС"" меньше даты завершения документа не более чем на 1 день."	KPI15y = AVG(KPI15m), где KPI15m - значения ежемесячных показателей.	2 / 4 * 100% = 50%	Оператор	Приёмка возвратного товара с маркетплейсов	III-ДИ-УВЛ-Ин-19	marketplace_invoice	Итого	0.9	higher	1	KPI	main
15	KPI17	Количество обработанных возвратов с маркетплейсов.	шт. (штуки)	Склад товара	Количество шт., разбракованных и принятых на сток за отчетный период по документам приемки возвратов из маркетплейсов.	Оценка объема обработанных штук при приемке возвратов из маркетплейсов.	"Axelot, отчет ""Контроль приемки"". Вариант ""KPI - Приемка вложений возвратных коробов из розницы (Все показатели)""."	"KPI17 = SUM(A); где: 
А - количество шт. разбракованного и принятого товара, полученного из маркетплейса в отчетном периоде."	KPI17y = SUM(A); где А - количество шт. разбракованного и принятого товара, полученного из маркетплейса в отчетном периоде.	1000	Оператор	Приёмка возвратного товара с маркетплейсов	III-ДИ-УВЛ-Ин-19	marketplace_invoice	Итого			1	SI	1
16	KPI18	Количество немаркированных штук.	шт. (штуки)	Склад товара	"Количество шт. содержащих не валидный код маркировки ""Честный знак"" (ДМ), находящихся на стоке и в зоне ""Карантин""."	Оценка объема немаркированных штук.	"Axelot, отчет ""Остатки"". Вариант ""БОО - Остатки Немаркированный товар""."	"KPI18 = SUM(A); где: 
А - количество шт. товара с признаком ""Требуется маркировка"" = ДА и признаком ""Маркировка номенклатуры"" = НЕТ на конец отчетного периода."	"KPI18y = SUM(A); где А - количество шт. товара с признаком ""Требуется маркировка"" = ДА и признаком ""Маркировка номенклатуры"" = НЕТ на конец отчетного периода."	1000	Оператор	Перемаркировка DataMatrix	III-ДИ-УВЛ-Ин-26	stock	Итого	1000.0	lower	1	SI	3
17	KPI16	Производительность приемки возвратов с маркетплейсов.	% шт. (штуки)	Склад товара	Производительность, рассчитываемая как отношение фактической выработки задействованных сотрудников на операции по часам к запланированной выработке, согласно нормативу 50 шт./час.	Оценка эффективности работы сотрудников на операции в час.	"Axelot, отчет ""Выработка сотрудников по часам"" или дашборд ""Срез для старших смены"" в Power BI."	"KPI16 = A/(B*K)*100%, где: 
А - суммарная выработка шт. за период на операции, 
В - Количество человеко-часов, потраченных на операцию. 
K - норматив на операции (50 шт.)"	KPI16y = AVG(KPI16m), где KPI16m - значения ежемесячных показателей.	1500 / (30 * 60) * 100% = 80%	Менеджер смены	Приёмка возвратного товара с маркетплейсов	III-ДИ-УВЛ-Ин-19	marketplace_invoice	Итого	0.9		1	KPI	4
18	KPI21	Полнота комплектации товара со стока.	% шт. (штуки)	Склад товара	Полнота, рассчитываемая как отношение фактического количества скомплектованных шт. к плановому количеству шт. по документам, завершенным в отчетном периоде.	Оценка полноты комплектации товаров согласно плану.	"Axelot, отчет ""Контроль отгрузки"".Вариант ""KPI - Комплектация (все кроме количества коробов)""."	"KPI21 = A/B*100%, где: 
А - Сумма фактически скомплектованного по документам, 
В - Сумма количества план по документам, завершенным в отчетный период."	KPI21y = AVG(KPI21m), где KPI21m - значения ежемесячных показателей.	1000 / 2000 * 100% = 50%	Оператор	Комплектация		picking	Итого	0.995	higher	1	KPI	1
19	KPI22	Своевременность комплектации со стока.	% док. (документ)	Склад товара	"Своевременность рассчитывается как отношение количества документов, которые были скомплектованы вовремя (не позднее чем 16 часов от установленной даты планового завершения комплектации), к общему количеству документов, которые были скомплектованы в учетный период времени. Плановой датой завершения комплектации является первая дата, согласованная с клиентом, исключая дальнейшие переносы. Скомплектованным документом является ""Заказ на отгрузку"", дата завершения комплектации которого выпадает на отчетный период."	Измерение своевременности комплектации заказов перед отгрузкой.	"Axelot, отчет ""Контроль отгрузки"". Вариант ""KPI - Комплектация (все кроме количества коробов)""."	"KPI22 = A/B*100%, где: 
А - количество документов, которые скомплектованы своевременно. 
B - общее количество документов,  которые были скомплектованы."	KPI22y = AVG(KPI202m), где KPI22m - значения ежемесячных показателей.	2 / 4 * 100% = 50%	Оператор	Комплектация		picking	Итого	0.95	higher	1	KPI	main
20	KPI19	Производительность комплектации отбором.	% шт. (штуки)	Склад товара	Производительность, рассчитываемая как отношение фактической выработки задействованных сотрудников на операции по часам к запланированной выработке, согласно нормативу 30 шт./час.	Оценка эффективности работы сотрудников на операции в час.	"Axelot, отчет ""Выработка сотрудников по часам"" или дашборд ""Срез для старших смены"" в Power BI."	"KPI19 = A/(B*K)*100%, где: 
А - суммарная выработка шт. за период на операции, 
В - Количество человеко-часов, потраченных на операцию. 
K - норматив на операции (30 шт.)"	KPI19y = AVG(KPI19m), где KPI19m - значения ежемесячных показателей.	300 / (10 * 30) * 100% = 100%	Менеджер смены	Прямой отбор	III-ДИ-УВЛ-Ин-27	picking	Итого	0.9		1	KPI	3
21	KPI20	Производительность комплектации сортировкой.	% шт. (штуки)	Склад товара	Производительность, рассчитываемая как отношение фактической выработки задействованных сотрудников на операции по часам к запланированной выработке, согласно нормативу 100 шт./час.	Оценка эффективности работы сотрудников на операции в час.	"Axelot, отчет ""Выработка сотрудников по часам"" или дашборд ""Срез для старших смены"" в Power BI."	"KPI20 = A/(B*K)*100%, где: 
А - суммарная выработка шт. за период на операции, 
В - Количество человеко-часов, потраченных на операцию. 
K - норматив на операции (100 шт.)"	KPI20y = AVG(KPI20m), где KPI20m - значения ежемесячных показателей.	3000 / (30 * 100) * 100% = 100%	Менеджер смены	Сортировка	III-ДИ-УВЛ-Ин-28	picking	Итого	0.9		1	KPI	4
22	KPI23	Время ожидания отрузки транзитных коробов.	час	Склад товара	Среднее время ожидания рассчитывается как продолжительность хранения транзитных коробов в зоне готовые заказы до отгрузки, уравновешенное количеством коробов в заказе, по документам, отгруженным за отчетный период.	Рассчет среднего времени ожидания транзитных коробов перед отгрузкой.	"Axelot, отчет ""Контроль отгрузки"". Вариант ""KPI - Комплектация (все кроме количества коробов)"". Параметр отбора Вид номенклатуры надо заменить на ""не равно Транзитный короб"""	"KPI23 = SUM((C - A)*B)/SUM(B), где: 
A - дата фактического завершения комплектации, 
С - дата фактической отгрузки, 
B - количество скомплектованных шт., 
SUM((C - A)*B) - сумма произведений (C - A) и B по каждому документу, 
SUM(B) - сумма всех скомплектованных шт. по документам."	KPI23y = AVG(KPI23m), где KPI23m - значения ежемесячных показателей.	((15.02.2024 - 10.02.2024) * 100 + (17.02.2024 - 07.02.2024) * 10) / (100 + 10) = 5,45	Оператор	Комплектация		shipment	Итого			0	SI	
23	KPI24	Время ожидания отрузки коробов со стока.	час	Склад товара	Среднее время ожидания рассчитывается как продолжительность хранения коробов, скомплектованных со стока в зоне готовые заказы до отгрузки, уравновешенное количеством коробов в заказе, по документам, отгруженным за отчетный период.	Рассчет среднего времени ожидания готовых к отгрузке коробов.	"Axelot, отчет ""Контроль отгрузки"". Вариант ""KPI - Комплектация (все кроме количества коробов)""."	"KPI24 = SUM((C - A)*B)/SUM(B), где: 
A - дата фактического завершения комплектации, 
С - дата фактической отгрузки, 
B - количество скомплектованных коробов, 
SUM((C - A)*B) - сумма произведений (C - A) и B по каждому документу, 
SUM(B) - сумма всех скомплектованных коробов по документам."	KPI24y = AVG(KPI24m), где KPI24m - значения ежемесячных показателей.	((15.02.2024 - 10.02.2024) * 100 + (17.02.2024 - 07.02.2024) * 10) / (100 + 10) = 5,45	Оператор	Комплектация		shipment	Итого			0	SI	
24	KPI25	Количество отгруженных транзитных коробов.	кор. (короба)	Склад товара	Количество транзитных коробов, отгруженных со склада за отчетный период по документам отгрузки.	Оценка объема отгруженных транзитных коробов.	"Axelot, отчет ""Контроль отгрузки"". Вариант ""KPI - Комплектация (количество коробов)""."	"KPI25 = SUM(A); где: 
А - количество коробов, отгруженных по документам в отчетном периоде.
Документом является ""заказ на отгрузку"" с параметром ""Направление отгрузки"" = ""Отгрузка клиенту (короба)""."	"KPI25y = SUM(A); где: 
А - количество коробов, отгруженных по документам в отчетном периоде.
Документом является ""заказ на отгрузку"" с параметром ""Направление отгрузки"" = ""Отгрузка клиенту (короба)""."	1000	Оператор	Отгрузка	III-ДИ-УВЛ-Ин-29	shipment	Итого			1	SI	2
25	KPI26	Количество отгруженных коробов со стока.	кор. (короба)	Склад товара	Количество коробов, скомплектованных со стока, отгруженных со склада за отчетный период по документам отгрузки.	Оценка объема отгруженных коробов.	"Axelot, отчет ""Контроль отгрузки"". Вариант ""KPI - Комплектация (количество коробов)""."	"KPI26 = SUM(A); где: 
А - количество коробов, отгруженных по документам в отчетном периоде.
Документом является ""заказ на отгрузку"" с параметром ""Направление отгрузки"" = ""Отгрузка клиенту""."	"KPI26y = SUM(A); где: 
А - количество коробов, отгруженных по документам в отчетном периоде.
Документом является ""заказ на отгрузку"" с параметром ""Направление отгрузки"" = ""Отгрузка клиенту""."	1000	Оператор	Отгрузка	III-ДИ-УВЛ-Ин-29	shipment	Итого			1	SI	1
26	KPI27	Качество отгрузки.	% кор. (короба)	Склад товара	Полнота, рассчитываемая как отношение фактического количества отгруженных коробов к плановому количеству коробов к отгрузке по документам, отгруженным в отчетном периоде.	Рассчет полноты отгрузки коробов по сравнению с плановым количеством.	"Axelot, отчет ""Контроль отгрузки"", Вариант ""KPI - Контроль отгрузки (отгрузка)""."	"KPI27 = A/B*100%, где: 
А - Сумма фактически отгруженных коробов по документам, 
В - Сумма количества запланированных к отгрузке коробов по документам, отгруженным в отчетный период."	KPI27y = AVG(KPI27m), где KPI27m - значения ежемесячных показателей.	1800 / 2000 * 100% = 90%	Оператор	Отгрузка	III-ДИ-УВЛ-Ин-29	shipment	Итого	1.0	higher	1	KPI	main
27	KPI30	Остатки на складе отклонений.	шт. (штуки)	Склад товара	Количество шт., на остатках склада отклонений. Склад отклонений содержит шт., отклоненные получателем по причине недостач или иных проблем с приемкой скомплектованных складом шт.	Оценка объема претензий к комплектации, выполненной складом.	"1С, отчет ""Движения товаров на складах""."	"KPI30 = SUM(А), где:
А - остаток на складе отклонений на конец отчетного периода."	"KPI30y = SUM(А), где:
А - остаток на складе отклонений."	100	Оператор	Сток		stock	Итого			1	SI	2
28	KPI31	Остатки в зоне LOST.	шт. (штуки)	Склад товара	Количество шт., временно утерянных на складе, в результате ошибок при приемке, размещении или комплектации шт. и коробов.	Оценка объема временных потерь товаров на складе из-за ошибок в процессах.	"Axelot, отчет ""Остатки"". Вариант ""KPI - Сток (все показатели)""."	"KPI31 = SUM(А), где:
А - остаток в зоне LOST на конец отчетного периода."	"KPI31y = SUM(А), где:
А - остаток в зоне LOST на конец отчетного периода."	100	Оператор	Сток		stock	Итого			1	SI	1
29	KPI28	Качество отстатков в WMS.	% шт. (штуки)	Склад товара	Качество остатков, рассчитываемое как отношение всех расхождений, взятых по модулю, к общему остатку в 1С BUH.	Оценка точности учета остатков товаров на складе.	Axelot, 1С, сведение в Excel.	"KPI28 = 1 - (A - B) / C, где:
A - количество излишков в WMS относительно 1С (всегда положительное),
B - количество недостач в WMS относительно 1С (всегда отрицательное),
C - общий остаток на складе в 1С.
Данные сверяются на конец отчетного периода."	"KPI28y = 1 - (A - B) / C, где:
A - количество излишков в WMS относительно 1С (всегда положительное),
B - количество недостач в WMS относительно 1С (всегда отрицательное),
C - общий остаток на складе в 1С.
Данные сверяются на конец отчетного периода."	1 - 10 / 1000 = 99%	Ревизор	Сток		stock	Итого	0.98	higher	1	KPI	main
30	KPI29	Не размещенные короба.	кор. (короба)	Склад товара	"Количество коробов, не размещенных в стеллажное хранение более 24 часов на конец отчетного периода. Не размещенным коробом является короб, на который есть не выполненная задача на ""Размещение"", дата создания которой отличается от даты окончания периода более, чем на 24 часа."	"Оценка объема коробов, находящихся не в своей зоне.
"	"Axelot, таблица ""Задачи по перемещению контейнеров""."	"KPI29 = SUM(A), где:
А - задача с типом ""Размещение"" в статусе ""К выполнению"", дата создания которой отличается от даты окончания отчетного периода более, чем на 24 часа."	"KPI29y = SUM(A), где:
А - задача с типом ""Размещение"" в статусе ""К выполнению"", дата создания которой отличается от даты окончания отчетного периода более, чем на 24 часа."	100	Ревизор	Сток		bufer	Итого	40.0	lower	1	SI	1
31	KPI33	Заполненность зоны готовых заказов.	% кор. (короба)	Склад товара	"Заполненность рассчитывается как отношение количества коробов, подготовленных к отгрузке, к вместимости зоны ""Готовые заказы"". Текущая вместимость зоны ""Готовые заказы"" 3200 кор."	Расчет степени заполненности зоны готовых к отгрузке заказов.	"Axelot, отчет ""Остатки"". Вариант ""KPI - Сток (В зоне готовых заказов)""."	"KPI33 = A/K *100%, где:
А - кол-во кор., готовых к отгрузке, 
K - вместимость зоны ""Готовые заказы"".
Текущая вместимость зоны ""Готовые заказы"" 3200 кор."	KPI33y = AVG(KPI33m), где KPI33m - значения ежемесячных показателей.	3000 / 3200 * 100% = 93%	Оператор	Сток		bufer	Итого	0.8	lower	1	KPI	main
32	KPI39	Полнота комплектации оборудования в розницу.	% док. (документ)	Склад оборудования	"Полнота, рассчитываемая как отношение количества документов, скомплектованных полностью к общему числу документов, завершенных в отчетном периоде. Документом является ""Заявка на склад оборудования"", без галочки ""Открытие"". Скомплектованным полностью  считается документ, статус которого ""Отгружен"". Скомплектованным частично считается документ, статус которого ""Отгружен частично"". "		"1С, таблица ""Заявки для склада оборудования"", обработка в Excel."	"KPI39 = A/B *100%, где:
А - кол-во документов в статусе ""Отгружен"", 
B - общее кол-во документов. "	KPI39y = AVG(KPI39m), где KPI39m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Оператор	Комплектация оборудования		picking	Итого	0.995	higher	1	KPI	3
33	KPI32	Доступность товара на стоке.	% шт. (штуки)	Склад товара	"Доступность рассчитывается как отношение количества шт., доступных для заказа со склада к общему остатку на складе. Доступным считается остаток в зонах ""Основное хранение"", ""Полочное хранение"". Недоступным считается остаток в зонах ""LOST"", ""Карантин"", ""Зона приемки"",  ""Зона комплектации"", ""Зона контроля"", ""Ревизоры""."	Расчет доступности товаров для заказа на складе.	"Axelot, отчет ""Остатки"". Вариант ""KPI - Сток (все показатели)""."	"KPI32 = A/B *100%, где:
А - кол-во шт., в доступных зонах, 
B - общее кол-во шт. во всех зонах.
Данные фиксируются на момент окончания отчетного периода."	"KPI32y = A/B *100%, где:
А - кол-во шт., в доступных зонах, 
B - общее кол-во шт. во всех зонах.
Данные фиксируются на момент окончания отчетного периода."	90000 / 100000 * 100% = 90%	Ревизор	Сток		stock	Итого	0.95	higher	1	KPI	4
34	KPI40	Полнота комплектации на открытия магазинов.	% док. (документ)	Склад оборудования	"Полнота, рассчитываемая как отношение количества документов, скомплектованных полностью к общему числу документов, завершенных в отчетном периоде. Документом является ""Заявка на склад оборудования"", с галочкой ""Открытие"". Скомплектованным полностью  считается документ, статус которого ""Отгружен"". Скомплектованным частично считается документ, статус которого ""Отгружен частично"". "		"1С, таблица ""Заявки для склада оборудования"", обработка в Excel."	"KPI40 = A/B *100%, где:
А - кол-во документов в статусе ""Отгружен"", 
B - общее кол-во документов. "	KPI40y = AVG(KPI40m), где KPI40m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Оператор	Комплектация оборудования		picking	Итого	0.995	higher	1	KPI	2
35	KPI34	Своевременность приемки возвратов оборудования.	% док. (документ)	Склад оборудования	Своевременность, рассчитываемая как отношение количества документов, завершенных вовремя к общему числу документов, завершенных в отчетном периоде. Своевременно принятым считается документ, чья дата фактического завершения не превышает 168 часов (7 дней).		"Excel, таблица ""План работ (оборудование)""."	"KPI34 = A/B *100%, где:
А - кол-во своевременно принятых документов, 
B - общее кол-во принятых документов. 
Своевременно принятым считается документ, чья дата фактического завершения не превышает 168 часов (7 дней)."	KPI34y = AVG(KPI34m), где KPI34m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Специалист учета	Приёмка возвратного оборудования	III-ДИ-УВЛ-Ин-06	equipment_invoice	Итого	0.95	higher	1	KPI	1
36	KPI35	Не подписанные перемещения.	док. (документ)	Склад оборудования	Количество не подписанных документов перемещения оборудования из розницы на склад, созданных более чем за 21 день от даты окончания отчетного периода.		"1С, отчет ""Реестр не подписанных документов""."	"KPI35 = A, где:
А - кол-во не подписанных документов."	"KPI35y = A, где:
А - кол-во не подписанных документов."	150	Специалист учета	Приёмка возвратного оборудования	III-ДИ-УВЛ-Ин-06	equipment_invoice	Итого	1.0	lower	1	SI	2
37	KPI36	Не принятое оборудование.	пал. (паллет)	Склад оборудования	Количество паллето-мест, занимаемых оборудованием на складе в зоне приемки, поступившим из розницы, с не идентифицируемой номенклатурой.		Визуальный подсчет в зоне проблемных коробов на складе.	"KPI36 = А, где:
А - количество паллетомест, занимаемых на складе."	"KPI36y = А, где:
А - количество паллетомест, занимаемых на складе."	150	Специалист учета	Приёмка возвратного оборудования	III-ДИ-УВЛ-Ин-06	equipment_invoice	Итого	1.0	lower	1	SI	3
