index	category	brand	target	target_type	relevance	type	subcategory	formula_week	formula_year	example	responsible	instruction_title	instruction_id	category.1	brand.1	target.1	target_type.1	relevance.1	type.1	subcategory.1
10	shop_transit	Итого	0.95	higher	1	KPI	1	"KPI12 = A/B*100%, где: 
А - Сумма фактически принятого по документам, 
В - Сумма количества план по документам, завершенным в отчетный период."	KPI12y = AVG(KPI12m), где KPI12m - значения ежемесячных показателей.	1000 / 2000 * 100% = 50%	Оператор	Приёмка коробов	III-ДИ-УВЛ-Ин-20	shop_transit	Итого	0.95	higher	1	KPI	1
11	shop_transit	Итого	0.95		1	KPI	4	"KPI10 = A/(B*K)*100%, где: 
А - суммарная выработка кор. за период на операции, 
В - Количество человеко-часов, потраченных на операцию. K - норматив на операции (50 шт.)"	KPI10y = AVG(KPI10m), где KPI06m - значения ежемесячных показателей.	1500 / (30 * 50) * 100% = 100%	Менеджер смены	Приёмка коробов	III-ДИ-УВЛ-Ин-20	shop_transit	Итого	0.95		1	KPI	4
12	shop_transit	Итого	0.95	higher	1	KPI	main	"KPI13 = A/B*100%, где: 
А - количество коробов, документы которых завершены своевременно. 
B - общее количество коробов, документы которых были завершены."	KPI13y = AVG(KPI13m), где KPI13m - значения ежемесячных показателей.	1000 / 2000 * 100% = 50%	Оператор	Приёмка коробов	III-ДИ-УВЛ-Ин-20	shop_transit	Итого	0.95	higher	1	KPI	main
13	shop_transit	Итого	24.0		0	SI		"KPI14 = SUM(A*B)/SUM(B), где: 
A - Время обработки документа в часах, 
B - количество обработанных коробов, SUM(A*B) - сумма произведений A и B по каждому документу, 
SUM(B) - сумма всех обработанных коробов по документам."	KPI14y = AVG(KPI14m), где KPI14m - значения ежемесячных показателей.	(10 * 500 + 5 * 100) / (500 + 100) = 9,16	Оператор	Приёмка коробов	III-ДИ-УВЛ-Ин-20	shop_transit	Итого	24.0		0	SI	
14	marketplace_invoice	Итого	0.9	higher	1	KPI	main	"KPI15 = A/B*100%, где: 
А - количество документов, которые завершены своевременно, 
B - общее количество документов,  которые были завершены. 
Своевременно завершенным документом является документ, у которого дата вывоза в ""Номер КИС"" меньше даты завершения документа не более чем на 1 день."	KPI15y = AVG(KPI15m), где KPI15m - значения ежемесячных показателей.	2 / 4 * 100% = 50%	Оператор	Приёмка возвратного товара с маркетплейсов	III-ДИ-УВЛ-Ин-19	marketplace_invoice	Итого	0.9	higher	1	KPI	main
15	marketplace_invoice	Итого			1	SI	1	"KPI17 = SUM(A); где: 
А - количество шт. разбракованного и принятого товара, полученного из маркетплейса в отчетном периоде."	KPI17y = SUM(A); где А - количество шт. разбракованного и принятого товара, полученного из маркетплейса в отчетном периоде.	1000	Оператор	Приёмка возвратного товара с маркетплейсов	III-ДИ-УВЛ-Ин-19	marketplace_invoice	Итого			1	SI	1
16	stock	Итого	1000.0	lower	1	SI	3	"KPI18 = SUM(A); где: 
А - количество шт. товара с признаком ""Требуется маркировка"" = ДА и признаком ""Маркировка номенклатуры"" = НЕТ на конец отчетного периода."	"KPI18y = SUM(A); где А - количество шт. товара с признаком ""Требуется маркировка"" = ДА и признаком ""Маркировка номенклатуры"" = НЕТ на конец отчетного периода."	1000	Оператор	Перемаркировка DataMatrix	III-ДИ-УВЛ-Ин-26	stock	Итого	1000.0	lower	1	SI	3
17	marketplace_invoice	Итого	0.9		1	KPI	4	"KPI16 = A/(B*K)*100%, где: 
А - суммарная выработка шт. за период на операции, 
В - Количество человеко-часов, потраченных на операцию. 
K - норматив на операции (50 шт.)"	KPI16y = AVG(KPI16m), где KPI16m - значения ежемесячных показателей.	1500 / (30 * 60) * 100% = 80%	Менеджер смены	Приёмка возвратного товара с маркетплейсов	III-ДИ-УВЛ-Ин-19	marketplace_invoice	Итого	0.9		1	KPI	4
18	picking	Итого	0.995	higher	1	KPI	1	"KPI21 = A/B*100%, где: 
А - Сумма фактически скомплектованного по документам, 
В - Сумма количества план по документам, завершенным в отчетный период."	KPI21y = AVG(KPI21m), где KPI21m - значения ежемесячных показателей.	1000 / 2000 * 100% = 50%	Оператор	Комплектация		picking	Итого	0.995	higher	1	KPI	1
19	picking	Итого	0.95	higher	1	KPI	main	"KPI22 = A/B*100%, где: 
А - количество документов, которые скомплектованы своевременно. 
B - общее количество документов,  которые были скомплектованы."	KPI22y = AVG(KPI202m), где KPI22m - значения ежемесячных показателей.	2 / 4 * 100% = 50%	Оператор	Комплектация		picking	Итого	0.95	higher	1	KPI	main
20	picking	Итого	0.9		1	KPI	3	"KPI19 = A/(B*K)*100%, где: 
А - суммарная выработка шт. за период на операции, 
В - Количество человеко-часов, потраченных на операцию. 
K - норматив на операции (30 шт.)"	KPI19y = AVG(KPI19m), где KPI19m - значения ежемесячных показателей.	300 / (10 * 30) * 100% = 100%	Менеджер смены	Прямой отбор	III-ДИ-УВЛ-Ин-27	picking	Итого	0.9		1	KPI	3
21	picking	Итого	0.9		1	KPI	4	"KPI20 = A/(B*K)*100%, где: 
А - суммарная выработка шт. за период на операции, 
В - Количество человеко-часов, потраченных на операцию. 
K - норматив на операции (100 шт.)"	KPI20y = AVG(KPI20m), где KPI20m - значения ежемесячных показателей.	3000 / (30 * 100) * 100% = 100%	Менеджер смены	Сортировка	III-ДИ-УВЛ-Ин-28	picking	Итого	0.9		1	KPI	4
22	shipment	Итого			0	SI		"KPI23 = SUM((C - A)*B)/SUM(B), где: 
A - дата фактического завершения комплектации, 
С - дата фактической отгрузки, 
B - количество скомплектованных шт., 
SUM((C - A)*B) - сумма произведений (C - A) и B по каждому документу, 
SUM(B) - сумма всех скомплектованных шт. по документам."	KPI23y = AVG(KPI23m), где KPI23m - значения ежемесячных показателей.	((15.02.2024 - 10.02.2024) * 100 + (17.02.2024 - 07.02.2024) * 10) / (100 + 10) = 5,45	Оператор	Комплектация		shipment	Итого			0	SI	
23	shipment	Итого			0	SI		"KPI24 = SUM((C - A)*B)/SUM(B), где: 
A - дата фактического завершения комплектации, 
С - дата фактической отгрузки, 
B - количество скомплектованных коробов, 
SUM((C - A)*B) - сумма произведений (C - A) и B по каждому документу, 
SUM(B) - сумма всех скомплектованных коробов по документам."	KPI24y = AVG(KPI24m), где KPI24m - значения ежемесячных показателей.	((15.02.2024 - 10.02.2024) * 100 + (17.02.2024 - 07.02.2024) * 10) / (100 + 10) = 5,45	Оператор	Комплектация		shipment	Итого			0	SI	
24	shipment	Итого			1	SI	2	"KPI25 = SUM(A); где: 
А - количество коробов, отгруженных по документам в отчетном периоде.
Документом является ""заказ на отгрузку"" с параметром ""Направление отгрузки"" = ""Отгрузка клиенту (короба)""."	"KPI25y = SUM(A); где: 
А - количество коробов, отгруженных по документам в отчетном периоде.
Документом является ""заказ на отгрузку"" с параметром ""Направление отгрузки"" = ""Отгрузка клиенту (короба)""."	1000	Оператор	Отгрузка	III-ДИ-УВЛ-Ин-29	shipment	Итого			1	SI	2
25	shipment	Итого			1	SI	1	"KPI26 = SUM(A); где: 
А - количество коробов, отгруженных по документам в отчетном периоде.
Документом является ""заказ на отгрузку"" с параметром ""Направление отгрузки"" = ""Отгрузка клиенту""."	"KPI26y = SUM(A); где: 
А - количество коробов, отгруженных по документам в отчетном периоде.
Документом является ""заказ на отгрузку"" с параметром ""Направление отгрузки"" = ""Отгрузка клиенту""."	1000	Оператор	Отгрузка	III-ДИ-УВЛ-Ин-29	shipment	Итого			1	SI	1
26	shipment	Итого	1.0	higher	1	KPI	main	"KPI27 = A/B*100%, где: 
А - Сумма фактически отгруженных коробов по документам, 
В - Сумма количества запланированных к отгрузке коробов по документам, отгруженным в отчетный период."	KPI27y = AVG(KPI27m), где KPI27m - значения ежемесячных показателей.	1800 / 2000 * 100% = 90%	Оператор	Отгрузка	III-ДИ-УВЛ-Ин-29	shipment	Итого	1.0	higher	1	KPI	main
27	stock	Итого			1	SI	2	"KPI30 = SUM(А), где:
А - остаток на складе отклонений на конец отчетного периода."	"KPI30y = SUM(А), где:
А - остаток на складе отклонений."	100	Оператор	Сток		stock	Итого			1	SI	2
28	stock	Итого			1	SI	1	"KPI31 = SUM(А), где:
А - остаток в зоне LOST на конец отчетного периода."	"KPI31y = SUM(А), где:
А - остаток в зоне LOST на конец отчетного периода."	100	Оператор	Сток		stock	Итого			1	SI	1
29	stock	Итого	0.98	higher	1	KPI	main	"KPI28 = 1 - (A - B) / C, где:
A - количество излишков в WMS относительно 1С (всегда положительное),
B - количество недостач в WMS относительно 1С (всегда отрицательное),
C - общий остаток на складе в 1С.
Данные сверяются на конец отчетного периода."	"KPI28y = 1 - (A - B) / C, где:
A - количество излишков в WMS относительно 1С (всегда положительное),
B - количество недостач в WMS относительно 1С (всегда отрицательное),
C - общий остаток на складе в 1С.
Данные сверяются на конец отчетного периода."	1 - 10 / 1000 = 99%	Ревизор	Сток		stock	Итого	0.98	higher	1	KPI	main
30	bufer	Итого	40.0	lower	1	SI	1	"KPI29 = SUM(A), где:
А - задача с типом ""Размещение"" в статусе ""К выполнению"", дата создания которой отличается от даты окончания отчетного периода более, чем на 24 часа."	"KPI29y = SUM(A), где:
А - задача с типом ""Размещение"" в статусе ""К выполнению"", дата создания которой отличается от даты окончания отчетного периода более, чем на 24 часа."	100	Ревизор	Сток		bufer	Итого	40.0	lower	1	SI	1
31	bufer	Итого	0.8	lower	1	KPI	main	"KPI33 = A/K *100%, где:
А - кол-во кор., готовых к отгрузке, 
K - вместимость зоны ""Готовые заказы"".
Текущая вместимость зоны ""Готовые заказы"" 3200 кор."	KPI33y = AVG(KPI33m), где KPI33m - значения ежемесячных показателей.	3000 / 3200 * 100% = 93%	Оператор	Сток		bufer	Итого	0.8	lower	1	KPI	main
32	picking	Итого	0.995	higher	1	KPI	3	"KPI39 = A/B *100%, где:
А - кол-во документов в статусе ""Отгружен"", 
B - общее кол-во документов. "	KPI39y = AVG(KPI39m), где KPI39m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Оператор	Комплектация оборудования		picking	Итого	0.995	higher	1	KPI	3
33	stock	Итого	0.95	higher	1	KPI	4	"KPI32 = A/B *100%, где:
А - кол-во шт., в доступных зонах, 
B - общее кол-во шт. во всех зонах.
Данные фиксируются на момент окончания отчетного периода."	"KPI32y = A/B *100%, где:
А - кол-во шт., в доступных зонах, 
B - общее кол-во шт. во всех зонах.
Данные фиксируются на момент окончания отчетного периода."	90000 / 100000 * 100% = 90%	Ревизор	Сток		stock	Итого	0.95	higher	1	KPI	4
34	picking	Итого	0.995	higher	1	KPI	2	"KPI40 = A/B *100%, где:
А - кол-во документов в статусе ""Отгружен"", 
B - общее кол-во документов. "	KPI40y = AVG(KPI40m), где KPI40m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Оператор	Комплектация оборудования		picking	Итого	0.995	higher	1	KPI	2
35	equipment_invoice	Итого	0.95	higher	1	KPI	1	"KPI34 = A/B *100%, где:
А - кол-во своевременно принятых документов, 
B - общее кол-во принятых документов. 
Своевременно принятым считается документ, чья дата фактического завершения не превышает 168 часов (7 дней)."	KPI34y = AVG(KPI34m), где KPI34m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Специалист учета	Приёмка возвратного оборудования	III-ДИ-УВЛ-Ин-06	equipment_invoice	Итого	0.95	higher	1	KPI	1
36	equipment_invoice	Итого	1.0	lower	1	SI	2	"KPI35 = A, где:
А - кол-во не подписанных документов."	"KPI35y = A, где:
А - кол-во не подписанных документов."	150	Специалист учета	Приёмка возвратного оборудования	III-ДИ-УВЛ-Ин-06	equipment_invoice	Итого	1.0	lower	1	SI	2
37	equipment_invoice	Итого	1.0	lower	1	SI	3	"KPI36 = А, где:
А - количество паллетомест, занимаемых на складе."	"KPI36y = А, где:
А - количество паллетомест, занимаемых на складе."	150	Специалист учета	Приёмка возвратного оборудования	III-ДИ-УВЛ-Ин-06	equipment_invoice	Итого	1.0	lower	1	SI	3
38	equipment_invoice	Итого	0.95	higher	1	KPI	main	"KPI37 = A/B *100%, где:
А - кол-во своевременно принятых документов, 
B - общее кол-во принятых документов. 
Своевременно принятым считается документ, чья дата фактического завершения не превышает 168 часов (7 дней)."	KPI37y = AVG(KPI37m), где KPI37m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Специалист учета	Приёмка оборудования	III-ДИ-УВЛ-Ин-07	equipment_invoice	Итого	0.95	higher	1	KPI	main
39	picking	Итого	0.05	lower	1	KPI	4	"KPI38 = A/B *100%, где:
А - кол-во заказов ""день в день"", 
B - общее кол-во заказов. 
Заказом ""день в день"" считается заказ, чья дата фактической отгрузки превышает дату выгрузки на склад не более чем на 24 часа."	KPI38y = AVG(KPI38m), где KPI38m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Сток менеджер	Комплектация оборудования		picking	Итого	0.05	lower	1	KPI	4
40	picking	Итого	0.95	higher	1	KPI	main	"KPI41 = 1 - A/B *100%, где:
А - кол-во документов в таблице ""План работ (оборудование)"", 
B - общее кол-во документов. "	KPI41y = AVG(KPI41m), где KPI41m - значения ежемесячных показателей.	1 - 10 / 100 * 100% = 90%	Оператор	Комплектация оборудования		picking	Итого	0.95	higher	1	KPI	main
41	picking	Итого	0.95	higher	1	KPI	1	"KPI42 = 1 - A/B *100%, где:
А - кол-во документов в таблице ""План работ (оборудование)"", 
B - общее кол-во документов. "	KPI42y = AVG(KPI42m), где KPI42m - значения ежемесячных показателей.	1 - 10 / 100 * 100% = 90%	Оператор	Комплектация оборудования		picking	Итого	0.95	higher	1	KPI	1
42	transport_out	Итого	0.98	higher	1	KPI	main	"KPI47 = A/B * 100%, где: 
А - кол-во своевременно отгруженных ТС, 
B - общее кол-во отгруженных ТС. 
ТС с типом операции ""Оборудование"".
Своевременно отгруженным является ТС, время отгрузки которого не превышает 1 часа для СПб, 4 часа для остальных направлений."	KPI47y = AVG(KPI47m), где KPI47m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Оператор	Поступление товара	III-ДИ-УВЛ-Ин-15	transport_out	Итого	0.98	higher	1	KPI	main
43	shop_invoice	Итого			1	SI	1	"KPI048 = SUM(A), где: 
А - количество шт. в выгруженных коробах из розницы в отчетном периоде. (Из поля коэффициент)"	KPI48y = SUM(A); где А - количество шт. разбракованного и принятого товара из состава транзитного короба в отчетном периоде.	1000	Оператор	Приёмка вложений возвратных коробов	III-ДИ-УВЛ-Ин-16	shop_invoice	Итого			1	SI	1
44	shipment	Итого	0.995	higher	1	KPI	main	"KPI43 = 1 - A/B *100%, где:
А - кол-во грузомест в таблице ""Реестр претензий и инцидентов"", 
B - общее кол-во отгруженных грузомест. "	KPI43y = AVG(KPI43m), где KPI43m - значения ежемесячных показателей.	1 - 10 / 100 * 100% = 90%	Ревизор	Отгрузка оборудования	III-ДИ-УВЛ-Ин-14	shipment	Итого	0.995	higher	1	KPI	main
45	stock	Итого			1	SI	1	"KPI44 = SUM(А), где:
А - остаток в зоне LOST на конец отчетного периода."	"KPI44y = SUM(А), где:
А - остаток в зоне LOST на конец отчетного периода."	100	Ревизор	Сток		stock	Итого			1	SI	1
46	stock	Итого	0.98	higher	1	KPI	main	"KPI45 = 1 - (A - B) / C, где:
A - количество излишков в WMS относительно 1С (всегда положительное),
B - количество недостач в WMS относительно 1С (всегда отрицательное),
C - общий остаток на складе в 1С.
Данные сверяются на конец отчетного периода.\"	"KPI45y = 1 - (A - B) / C, где:
A - количество излишков в WMS относительно 1С (всегда положительное),
B - количество недостач в WMS относительно 1С (всегда отрицательное),
C - общий остаток на складе в 1С.
Данные сверяются на конец отчетного периода."	1 - 10 / 1000 = 99%	Ревизор	Сток		stock	Итого	0.98	higher	1	KPI	main
47	equipment_invoice	Итого	10.0	lower	1	SI	4	"KPI46 = SUM(А), где:
А - остаток в зоне LOST на конец отчетного периода."	"KPI46y = SUM(А), где:
А - остаток в зоне LOST на конец отчетного периода."	100	Ревизор	Сток		equipment_invoice	Итого	10.0	lower	1	SI	4
48	shipment	Итого			1	SI	1	"KPI49 = SUM(А), где:
А - Количество отгруженных грузомест."	"KPI49 = SUM(А), где:
А - Количество отгруженных грузомест."	100	Оператор	Отгрузка оборудования	III-ДИ-УВЛ-Ин-14	shipment	Итого			1	SI	1
