	ID KPI	Неделя	Категория	Краткое описание причины
17	KPI03	32.0	Отклонение	SL: По заданию ТС 000012416 грузилась машина на открытие валовой погрузкой.Мега-Парнас SL-2 (СПб);
18	KPI04	12.0	Инцидент	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
19	KPI04	20.0	Инцидент	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
20	KPI04	21.0	Отклонение	МФГ: Временно приостановлена приемка возвратов, приоритет по другим задачам.;
21	KPI04	22.0	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
22	KPI04	24.0	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине инвентаризации склада ;
23	KPI04	26.0	Отклонение	МФГ: Временно приостановлена приемка возвратов, приоритет по другим задачам.;
24	KPI04	28.0	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
25	KPI04	29.0	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
26	KPI04	30.0	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
27	KPI04	35.0	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
28	KPI05	21.0	Отклонение	МФГ: Временно приостановлена приемка возвратов, приоритет по другим задачам.;
29	KPI05	35.0	Отклонение	ZR: Запущена приемка на 21 тыс ед. ZR;
30	KPI08	13.0	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
31	KPI08	15.0	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
32	KPI08	16.0	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
33	KPI08	17.0	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
34	KPI08	19.0	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
35	KPI08	20.0	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
36	KPI08	21.0	Отклонение	МФГ: Временно приостановлена приемка возвратов, приоритет по другим задачам.;
37	KPI08	22.0	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
38	KPI08	28.0	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы, приоритетность строго не выставлена.;
39	KPI08	29.0	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы, приоритетность строго не выставлена.;
40	KPI08	30.0	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы, приоритетность строго не выставлена.;
41	KPI08	32.0	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы, приоритетность строго не выставлена.;
42	KPI08	33.0	Отклонение	"МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.	Товар	Приемка	Вся неделя;"
43	KPI08	34.0	Отклонение	"МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.	Товар	Приемка	Вся неделя;"
44	KPI08	35.0	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго;
45	KPI10	26.0	Инцидент	МФГ: По результатам недели очень низкая производительность у сотрудника Жаныбаев Улукбек;
46	KPI11	14.0	Инцидент	МФГ: Кол-во проблемных коробов 12 шт, письма написаны, по 3м из них активная переписка.;
47	KPI11	20.0	Инцидент	МФГ: Ожидание ответа от Бренда/ ОВЛ;
48	KPI11	22.0	Отклонение	МФГ: При инвентаризации был выявлен паллет с коробами из Техногрупп(16кор);
49	KPI13	12.0	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
50	KPI13	13.0	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
51	KPI13	14.0	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
52	KPI13	15.0	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
53	KPI13	16.0	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
54	KPI13	17.0	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
55	KPI13	19.0	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
56	KPI13	20.0	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
57	KPI13	21.0	Отклонение	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
58	KPI13	22.0	Отклонение	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
59	KPI13	24.0	Отклонение	"МФГ: Не своевременно закрыта приемки 10115460, 10115552_x000D_
;"
60	KPI13	26.0	Отклонение	МФГ: Не своевременно закрыта приемки ;
61	KPI13	28.0	Отклонение	ZR: Приемки транзитных коробов бренда BF и ZR были закрыты с опозданием, так как в результате физической приемки коробов были выявлены задввоенные короба. На выявление верного номера короба понадобилось дополнительное время. ;
62	KPI13	32.0	Отклонение	МФГ: Приемки транзитных коробов были завершены с опозданием из-за большого колличества прихода кросдоковых коробов. Также по приекам возвратов с Питера были расхожения, у операторов заняло больше времени на выяснение расхождений;
63	KPI13	33.0	Отклонение	МФГ: Приемки транзитных коробов были завершены с опозданием из-за большого колличества прихода кросдоковых коробов. Также по приекам возвратов с Питера были расхожения, у операторов заняло больше времени на выяснение расхождений;
64	KPI13	34.0	Отклонение	МФГ: Приемки транзитных коробов были завершены с опозданием из-за большого колличества прихода кросдоковых коробов. Также по приекам возвратов с Питера были расхожения, у операторов заняло больше времени на выяснение расхождений;
65	KPI13	35.0	Отклонение	МФГ: Приемки транзитных коробов были завершены с опозданием из-за большого колличества прихода кросдоковых коробов. Также по приекам возвратов с Питера были расхожения, у операторов заняло больше времени на выяснение расхождений;
66	KPI15	12.0	Инцидент	МФГ: Не своевременно закрыты приемки с Маркетплейсов, поздно поступает отклик о завершении, приемщики не успевают по причине большого объема работ, приоритетность не выставлена строго.;
67	KPI15	13.0	Инцидент	МФГ: Не своевременно закрыты приемки с Маркетплейсов, поздно поступает отклик о завершении, приемщики не успевают по причине большого объема работ, приоритетность не выставлена строго.;
68	KPI15	14.0	Инцидент	МФГ: Не своевременно закрыты приемки с Маркетплейсов, поздно поступает отклик о завершении, приемщики не успевают по причине большого объема работ, приоритетность не выставлена строго.;
69	KPI15	15.0	Инцидент	МФГ: Не своевременно закрыты приемки с Маркетплейсов, поздно поступает отклик о завершении, приемщики не успевают по причине большого объема работ, приоритетность не выставлена строго.;
70	KPI15	16.0	Инцидент	МФГ: Не своевременно закрыты приемки с Маркетплейсов, поздно поступает отклик о завершении, приемщики не успевают по причине большого объема работ, приоритетность не выставлена строго.;
71	KPI15	17.0	Инцидент	МФГ: Не своевременно закрыты приемки с Маркетплейсов, поздно поступает отклик о завершении, приемщики не успевают по причине большого объема работ, приоритетность не выставлена строго.;
72	KPI15	18.0	Инцидент	МФГ: Приёмка возвратов с маркетплейсов приостановлена в пользу приёмки товара из возвратных коробов;
73	KPI15	21.0	Отклонение	МФГ: Приёмка возвратов с маркетплейсов приостановлена в пользу ЗНС;
74	KPI15	22.0	Отклонение	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
75	KPI15	28.0	Отклонение	МФГ: Не своевременно закрыты приемки с Маркетплейсов, поздно поступает отклик о завершении, приемщики не успевают по причине большого объема работ, приоритетность не выставлена строго.;
76	KPI15	30.0	Отклонение	МФГ: Не своевременно закрыты приемки с Маркетплейсов, поздно поступает отклик о завершении, приемщики не успевают по причине большого объема работ, приоритетность не выставлена строго.;
77	KPI15	32.0	Отклонение	МФГ: Не своевременно закрыты приемки с Маркетплейсов, поздно поступает отклик о завершении, приемщики не успевают по причине большого объема работ, приоритетность не выставлена строго.;
78	KPI15	33.0	Отклонение	"МФГ: Не своевременно закрыты приемки с Маркетплейсов, поздно поступает отклик о завершении, приемщики не успевают по причине большого объема работ, приоритетность не выставлена строго.	Товар	Приемка	Вся неделя;"
79	KPI15	34.0	Отклонение	МФГ: Не своевременно закрыты приемки с Маркетплейсов, поздно поступает отклик о завершении, приемщики не успевают по причине большого объема работ, приоритетность не выставлена строго.;
80	KPI15	35.0	Отклонение	МФГ: Не своевременно закрыты приемки с Маркетплейсов, поздно поступает отклик о завершении, приемщики не успевают по причине большого объема работ, приоритетность не выставлена строго.;
81	KPI16	20.0	Инцидент	МФГ: Не своевременность приемки возвратов с маркетплейсов по причине приоритетности ЗНО;
82	KPI16	25.0	Отклонение	МФГ: опис;
83	KPI16	26.0	Инцидент	МФГ: Сотрудники на процессе чередуются при работе с ТСД, в результате падает средняя производительность.;
84	KPI18	12.0	Инцидент	МФГ: Количество немаркированной продукции 23349,нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
85	KPI18	13.0	Инцидент	МФГ: Количество немаркированной продукции 23470,нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
86	KPI18	14.0	Инцидент	МФГ: Количество немаркированной продукции 23233,нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
87	KPI18	15.0	Инцидент	МФГ: Количество немаркированной продукции 18772,нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
88	KPI18	16.0	Инцидент	МФГ: Количество немаркированной продукции 17890,нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
89	KPI18	17.0	Инцидент	МФГ: Количество немаркированной продукции 17760,нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
90	KPI18	18.0	Инцидент	МФГ: Количество немаркированной продукции 16929,нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
91	KPI18	19.0	Инцидент	МФГ: Количество немаркированной продукции 169354,нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
92	KPI18	20.0	Инцидент	МФГ: Количество немаркированной продукции 18151,нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
93	KPI18	21.0	Отклонение	МФГ: Количество немаркированной продукции 16732,нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
94	KPI18	22.0	Отклонение	МФГ: Количество немаркированной продукции 16977,нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
95	KPI18	24.0	Отклонение	МФГ: Количество немаркированной продукции 16501,нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
96	KPI18	28.0	Отклонение	МФГ: Количество немаркированной продукции 22169, нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
97	KPI18	29.0	Отклонение	МФГ: Количество немаркированной продукции 18299, нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
98	KPI18	30.0	Отклонение	МФГ: Количество немаркированной продукции 18454, нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
99	KPI18	35.0	Отклонение	МФГ: Количество немаркированной продукции 11119,нет свободных ресурсов, резервы по заказам не позволяющие обрабатывать конкретный бренд.;
100	KPI21	9.0	Отклонение	МФГ: BF недоборы по утилизации.ZR пересечение с ранее выгруженными заявками;
101	KPI21	16.0	Инцидент	"МФГ: По заказу Z002371991 недобор составил 496 ед. из 498 ед. С отделом ОВЛ недобор согласован, так как товар пошел в приоритетный ЗНС. 
;"
102	KPI21	17.0	Инцидент	"МФГ: По заказам Z002448854, Z002448892, Z002448833  недобор составил 628 по причине выбраковки товара на контроле. Также бренд запросил изъять весь артикул из ЗНС 002448854 артикул 3805040205
;"
103	KPI21	20.0	Инцидент	"ZR: По заказам ZARINA было выписано больше ед., чем есть на остатках.
;"
104	KPI21	21.0	Инцидент	"ZR: По заказам ZARINA было выписано больше ед., чем есть на остатках. Также бренд попросил выгрузить ЗНС до определенной даты. Срок выполнения ЗНС бренда не устроил 
;"
105	KPI21	22.0	Отклонение	"BF: По заказам BF на откланения приемки были выписаны заявки пересекающиеся друг с другом
ЗНС: 002668179, 002567831, 002523795;"
106	KPI21	26.0	Отклонение	МФГ: Проблемы с перемаркировкой товара;
107	KPI21	31.0	Отклонение	ZR: ЗНС: 002970497,002970433, 002970434,002970499 были созданы на оснавании транзитных коробов, которые принимались в момент создания ЗНС.  В процессе приемки товар был разбракован. Были выявлены излишки и недостачи. В процессе планирования данных ЗНС было выявлено, что товар который требуется в заказ в разных статусах, а также отсутствует на остатках. Было принято решение собирать ЗНС в тех статусах, в которых ед. товара больше на остатках склада УЗ.;
108	KPI21	32.0	Отклонение	МФГ: Был выявлен другой статус товра при комплектации ЗНС.;
109	KPI21	33.0	Отклонение	"МФГ: Было отобрано меньше ед в заказы 002970500, 002970502, 002970503, 002970713, 002970714, 002970420, 002970422, 002970423, 002970705, 002970698, 002970699,002970704 по причине другого статуса товара, отсутствия на остатках
;"
110	KPI21	34.0	Отклонение	"МФГ: Было отобрано меньше ед в заказы 2970501, 002970715, 002970716 по причине другого статуса товара, отсутствия на остатках
;"
111	KPI22	6.0	Отклонение	МФГ: Комплектация заказа №1 прошла с задержкой;
112	KPI22	13.0	Инцидент	МФГ: Поздно был скорректирован заказ (потеряны короба на поляне, поиск);
113	KPI22	14.0	Инцидент	МФГ: Поздно был скорректированы заказ на утилизацию;
114	KPI22	16.0	Инцидент	"МФГ: Комплектации заказов для ""Отклонения приемки наборов"" были выполнены с задержкой, так как были более приоритетные ЗНС;"
115	KPI22	22.0	Отклонение	"МФГ: Комплектации заказов для ""Отклонения приемки наборов"" были выполнены с задержкой, так как были более приоритетные ЗНС;"
116	KPI22	30.0	Отклонение	МФГ: Были выгружены более приоритетные заявки: 002942116, 002938933;
117	KPI22	32.0	Отклонение	ZR: По ЗНС 002996830 велись поиски ед для подбора в заказ. По заказам ZR комплектация была завершена не вовремя, так как были выгружены приоритетные заявки по BF;
118	KPI22	33.0	Отклонение	ZR: По заказам ZR была просрочена комплектации из-за допланирования заказов.;
119	KPI22	35.0	Отклонение	ZR: По заказам ZR была просрочена комплектации из-за допланирования заказов.;
120	KPI28	7.0	Отклонение	ID: SELA - не своевременная проводка документов в 1С. IDOL - ОжП 10107694 принята как оборудование, отгружалась частично как товар.;
121	KPI28	9.0	Отклонение	BF: IDOL  ОжП 10107694 принята как оборудование, отгружалась частично как товар.SL,BF - в 1С не проведены несколько перемещений.;
122	KPI28	19.0	Отклонение	BF: В 1С проведена  Накладная на реализацию MF000102498, в WMS (Z002441343,Z002441389) статус Готов к отгрузке; ID: Не корректный учет и проводки по форме;
123	KPI32	12.0	Инцидент	МФГ: ЗНС Z002307787 отменена, т.к товар физичестки отсутствует на складе УЗ. По системе товар не перенесен в LOST.;
124	KPI33	17.0	Инцидент	МФГ: Зона готовых заказов заполнена на 165% по причине большого вывоза транзитных коробов из розницы на склад Ф-Логистик Кучино ;
125	KPI33	19.0	Инцидент	МФГ: Зона готовых заказов заполнена на 143% по причине большого вывоза транзитных коробов из розницы на OZON, а также по причине неотгруженных скомплектованных заказов со стока;
126	KPI33	20.0	Инцидент	ZR: Зона готовых заказов заполнена на 160% по причине неотгруженных скомплектованных заказов со стока ZARINA;
127	KPI33	31.0	Отклонение	ZR: Зона готовых заказов заполнена на 95% по причине неотгруженных скоплектованных заказов ZR и BF;
128	KPI33	32.0	Отклонение	ZR: Зона котовых заказов заполнена на 152% так как ZR выписала заявки с большим объемом;
129	KPI33	35.0	Отклонение	ZR: Зона готовых заказов заполнена на 152% так как ZR выписала заявки с большим объемом;
130	KPI34	32.0	Сбой	МФГ: Технический сбой тсд привел к простою работы склада оборудования. Заявка ХД 202408129967 ;
131	KPI36	32.0	Сбой	МФГ: Технический сбой тсд привел к простою работы склада оборудования. Заявка ХД 202408129967 ;
132	KPI39	14.0	Инцидент	"МФГ: По 2м заявкам частичная отгрузка согласована с брендом 130590,130797. По заявке 130918 вешалки временно утеряны.
;"
133	KPI39	24.0	Отклонение	ZR: заявка 000137370 закрыта с расхождением по причине несоответсвия остатков в 1С и ВМС, ;
134	KPI39	32.0	Отклонение	МФГ: По заявке 000143362 в ЭКП был собран рулон приближенный к количеству указанный в заказе.;
135	KPI39	32.0	Сбой	МФГ: Технический сбой тсд привел к простою работы склада оборудования. Заявка ХД 202408129967 ;
136	KPI40	12.0	Инцидент	ID: Комплектация по ID и LR менее 98 % со стороны бренда, отмена некоторых позиций к комплектации;
137	KPI40	14.0	Инцидент	МФГ: Полка по заявке 130565 временно утеряна на складе.;
138	KPI40	15.0	Инцидент	ZR: По ZR 126800,126811,131779 закрыты с недобором ситуация выясняется, оператор не отписался. BF 131391 по согласованию с брендом, не корректный остаток в 1С,SL 127313-потерян товар,бренду отписались,127396-закрыта с недобором, писем не было, требуется разобраться.;
139	KPI40	16.0	Инцидент	ZR: По SL 000132274 закрыта с недобором т. к. товар был случайно отгружен излишком в другой магазин.оператор отписался. ZR 000132142(грузоместо Накопитель для вешалок ZR 2022 SMG, вероятно уехало на объект, данное место будут искать на объекте) , 000131803(Временно утеряно на складе УЗ позиция Искусственное растение в горшке h-160 см 1 шт.), 000129819( заявка выгружена не с тем статусом, который есть на остатке УЗ);
140	KPI40	26.0	Отклонение	Технический: При сборке заказа 000137838 не были найдены светильники в кол-ве 8шт, номер 643400891. Заказ был отгружен не в полном объёме.;
141	KPI40	32.0	Отклонение	МФГ: По 000142088 керамогранита было отгружено мешьне, т.к плитки небыло на остатке ;
142	KPI40	32.0	Сбой	МФГ: Технический сбой тсд привел к простою работы склада оборудования. Заявка ХД 202408129967 ;
143	KPI40	33.0	Отклонение	"МФГ: в заявке 000141560 менеджером было некорректно указано количество плитки (не кратно упаковке), поэтому закрыта с расхождением; МФГ: по заявке 000141396 не было на остатках номенклатуры ""Рамка (белая/черная) для картинки на стену 50*70 см"", поэтому закрыта с расхождением; МФГ: по заявке 144175 менеджером было некорректно указано количество плитки (не кратно упаковке), поэтому закрыта с расхождением; ZR: по заявке 000134433 была замена позиции ""Арка пристенная с креплением ZR"", на нее выгружена новая заявка; МФГ: по заявкке 000134435 была замена позиции ""Подиум для ТМ 1300*700*150 овал MS"", на нее выгружена новая заявка; МФГ: по заявке 000134437 позиция ""Вешалка жакетная белая TW"" отгружена не полностью по причине недостаточного количества на остатках;"
144	KPI40	34.0	Отклонение	"МФГ: заявка 000137956  закрыта с расхождением по просьбе менеджера; МФГ: заявка 140466 закрыта с расхождением, была замена позиции ""Полка ЛДСП под Бетон  ZA-PO-011.11"";"
145	KPI42	14.0	Инцидент	МФГ: Не успели обработать запланированный объем к отгрузке;
146	KPI42	15.0	Инцидент	МФГ: Не успели обработать запланированные заявки к отгрузке, в виду больших объемов.;
147	KPI42	16.0	Инцидент	МФГ: Не успели обработать запланированные заявки к отгрузке, в виду больших объемов.;
148	KPI42	19.0	Инцидент	МФГ: Не успели обработать запланированный объем к отгрузке;
149	KPI42	32.0	Отклонение	МФГ: Приоритетность была поставлена на сбор заявок на открытие, из-за этого были перенесены заявки на магазины;
150	KPI42	33.0	Отклонение	МФГ: 332 заявки не были отгружены вовремя в связи с выгрузкой большого количества заявок на открытия и отсутствем должного количества персонала для своевременной комплектации;
151	KPI42	34.0	Отклонение	МФГ: отгрузка 13 заявок ТК Транзит Авто Москва была перенесена с 20.08 на 23.08;
152	KPI42	35.0	Отклонение	МФГ: Заявки были перенесены из-за отсутствия должного количества персонала для своевременной комплектации;
153	KPI46	32.0	Сбой	МФГ: Технический сбой тсд привел к простою работы склада оборудования. Заявка ХД 202408129967 ;
154	KPI46	35.0	Отклонение	МФГ: Большой объем мелкоштучной приемки;
155	KPI47	10.0	Инцидент	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
156	KPI47	11.0	Инцидент	МФГ: Не своевременно отгрузка товара со склада,Афимолл SL (Москва) ;
157	KPI47	12.0	Инцидент	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
158	KPI47	13.0	Отклонение	МФГ: На смену вышло меньше аутсорса. Задержки по отгрузкам и разрузкам. ;
159	KPI47	14.0	Инцидент	МФГ: Груз не был вовремя подготовлен, задерка отгрузки;
160	KPI47	15.0	Инцидент	МФГ: 6 авто оператор не вовремя завершал заявку , 1 авто задержка по ЗНТ 19704 по причине не своевременной готовности;
161	KPI47	16.0	Инцидент	МФГ: оператор не вовремя завершил заявку ;
162	KPI47	17.0	Инцидент	МФГ: оператор не вовремя завершил заявку ;
163	KPI47	19.0	Инцидент	МФГ: Не своевременно погрузка оборудования со склада,оператор ошибочно не завершил вовремя ;
164	KPI47	20.0	Инцидент	ZR: Погрузка Невский-2 ZR-3  3ч 31 мин ??? система выдает несвоевременность погрузки;
165	KPI47	21.0	Отклонение	ZR: Не были сделаны замеры для  Галилео ZR (Минск) (000010626);
166	KPI47	22.0	Отклонение	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя (10786, 10643);
167	KPI47	23.0	Отклонение	LR: Не своевременно отгрузка товара со склада (000010832, 000010836) по причине большого обьема отгрузки;
168	KPI47	28.0	Отклонение	SL: Оборудование для открытия магазина Гудок SL (Самара). Отгрузку по заданию ТС 000011731, не завершили своевременно по причине большого объема оборудования.;
169	KPI47	29.0	Отклонение	МФГ: Оборудование для открытия магазина ГМега-Парнас LR-3 (СПб),Мега LR-3 (Омск). Отгрузку по заданию ТС 000011886, 000011830 не завершили своевременно по причине большого объема оборудования.;
170	KPI47	31.0	Отклонение	МФГ: По заданию ТС номер 000012257 по системе была не вовремя завершена погрузка.;
171	KPI47	32.0	Отклонение	BF: По заданию ТС 000012386 грузилась машина на открытие валовой погрузкой.Одипарк BF (Одинцово) По заданию ТС 000012385 грузилась машина на открытие валовой погрузкой. Калина Молл ID (Владивосток);
172	KPI47	33.0	Отклонение	ZR: По заданию ТС 000012576 грузилась машина на открытие валовой погрузкой.Аврора ZR-2 (Самара) По заданию ТС 000012613 грузилась машина на открытие валовой погрузкой.Сити-парк Град BF-3 (Воронеж) ;
173	KPI47	34.0	Отклонение	ZR: по заданию 000012779 погрузка на Зеленопарк ZR-2 (Зеленоград) заняла много времени по причине большого обьема отгрузки; МФГ: задание 000012832 несвоевременно завершено. оператор ошибочно не завершил вовремя.; МФГ: задание 000012761несвоевременно завершено. оператор ошибочно не завершил вовремя.;
174	Other	9.0	Отклонение	МФГ: LR заявка для склада оборудования 125048 скопмлектована не полностью. Количество заказанного оборудования больше того что в наличии на складе. Остатки в 1С не корректные.;
175	Other	11.0	Инцидент	МФГ: Отгружены задвоенные короба на Кучино;
176	Other	12.0	Инцидент	МФГ: Бренд утверждает, что не получил комплектующие к стойке, а мы не можем отпределить, должны они быть или нет. нет ни фото, ни какой информации об этом, как должно выглядеть оборудование ;
177	Нет	9.0	Отклонение	МФГ: Заявки на утилизацию BF,LR,ZR,SL.;
178	Нет	10.0	Отклонение	"BF: BF сформировал заявку на Фамилию на 3313 единиц в статусе ""кондиция Товар, который попал в недобор, есть в наличии, но в статусе ""брак"" или ""утиль"";"
179	Нет	19.0	Инцидент	SL: В процессе приемки транзитных коробов был выявлен короб без опозновательных знаков. В процессе опознания короба оказалось, что короб предназначается для ОЗОНА. Товар в коробе не упакован в индивидуальную упаковку. Магазин Европолис SL-2 (СПб);
180	Нет	20.0	Отклонение	SL: Водитель Пастель Александр принял товар 5 коробов к перемещению с магазина Sela на УЗ без сопроводительных документов; МФГ: Погрузка утиля на вывоз без поддонов. Соглашение с поставщиком ; ZR: Менеджер закупок ZR Ледовской создал заявку на сборку и не указал дату отгрузки. Т.к. ZR отказывается делать ЗНТ, ТМЦ отгрузили по факту сборки. Покупатель хотел забрать стол со склада. Стол водители вернули на УЗ.;
181	Нет	21.0	Инцидент	"ZR: На склад УЗ по ЗНТ 19873 была выгружена ТС с ТО после закрытия Седьмое Небо ZR-2 (Нижний Новгород)._x000D_
В данной машине также поступили переброски на регионы, которые склад не может принять и отгрузить верному получателю из-за того, что в перемещениях не стоит галочка «готово к отгрузке». _x000D_
; ID: Магазин Галерея ID отправил транзитные короба без опозновательных знаков, а также с некорректными транспортными этикетками ;"
182	Нет	21.0	Отклонение	МФГ: При планировании ЗНС 2636546, 2635836, 2636162 было заблокировано более 40 ячеек, что привело к задержке планирования ЗНС; ZR: По Маршлуту Квен №12 в Магазин Мега Дыбенко ZR по системе отгружено 19 коробов. В документах прописано 20 коробов. Также в документах на данный магазин оператор не проставил печати в пункте 8 и 12; МФГ: При отгрузке короба в офис по ЗНС 00000020230 на коробе был указан некорректно получаетель при подготовки коробов в офис. ;
